Время	x1	x2	x3	y
0.000000	0.000000	0.000000	0.000000	0.000000
0.001000	0.000009	0.000000	0.000000	0.000000
0.002000	0.000019	0.000000	0.000000	0.000000
0.003000	0.000028	0.000000	0.000000	0.000000
0.004000	0.000037	0.000000	0.000000	0.000000
0.005000	0.000046	0.000000	0.000000	0.000000
0.006000	0.000055	0.000000	0.000000	0.000000
0.007000	0.000065	0.000000	0.000000	0.000000
0.008000	0.000074	0.000000	0.000000	0.000000
0.009000	0.000083	0.000000	0.000000	0.000000
0.010000	0.000092	0.000000	0.000000	0.000000
0.011000	0.000102	0.000000	0.000000	0.000000
0.012000	0.000111	0.000000	0.000000	0.000000
0.013000	0.000120	0.000000	0.000000	0.000000
0.014000	0.000129	0.000000	0.000000	0.000000
0.015000	0.000139	0.000000	0.000000	0.000000
0.016000	0.000148	0.000000	0.000000	0.000000
0.017000	0.000157	0.000000	0.000000	0.000000
0.018000	0.000166	0.000000	0.000000	0.000000
0.019000	0.000175	0.000000	0.000000	0.000000
0.020000	0.000185	0.000000	0.000000	0.000000
0.021000	0.000194	0.000000	0.000000	0.000000
0.022000	0.000203	0.000000	0.000000	0.000000
0.023000	0.000212	0.000000	0.000000	0.000000
0.024000	0.000221	0.000000	0.000000	0.000000
0.025000	0.000230	0.000000	0.000000	0.000000
0.026000	0.000240	0.000000	0.000000	0.000000
0.027000	0.000249	0.000000	0.000000	0.000000
0.028000	0.000258	0.000000	0.000000	0.000000
0.029000	0.000267	0.000000	0.000000	0.000000
0.030000	0.000276	0.000000	0.000000	0.000000
0.031000	0.000285	0.000000	0.000000	0.000000
0.032000	0.000295	0.000000	0.000000	0.000000
0.033000	0.000304	0.000000	0.000000	0.000000
0.034000	0.000313	0.000000	0.000000	0.000000
0.035000	0.000322	0.000000	0.000000	0.000000
0.036000	0.000331	0.000000	0.000000	0.000000
0.037000	0.000340	0.000000	0.000000	0.000000
0.038000	0.000349	0.000000	0.000000	0.000000
0.039000	0.000359	0.000000	0.000000	0.000000
0.040000	0.000368	0.000000	0.000000	0.000000
0.041000	0.000377	0.000000	0.000000	0.000000
0.042000	0.000386	0.000000	0.000000	0.000000
0.043000	0.000395	0.000000	0.000000	0.000000
0.044000	0.000404	0.000000	0.000000	0.000000
