Time,x1,x2,x3,y
0.113,0.0010247038530528073,4.993234036643822e-07,1.8904096617615423e-08,1.8904096617615423e-08
0.114,0.0010335819481733152,5.081084810852033e-07,1.9407806308270572e-08,1.9407806308270572e-08
0.115,0.001042456755719293,5.169685585027019e-07,1.9920338579784233e-08,1.9920338579784233e-08
0.116,0.0010513282769081351,5.259035946534898e-07,2.0441768411519917e-08,2.0441768411519917e-08
0.117,0.0010601965129567858,5.349135482917839e-07,2.097217074158656e-08,2.097217074158656e-08
0.11800000000000001,0.001069061465081738,5.439983781894003e-07,2.1511620466856104e-08,2.1511620466856104e-08
0.11900000000000001,0.0010779231344990347,5.531580431357469e-07,2.2060192442981114e-08,2.2060192442981114e-08
0.12,0.0010867815224242685,5.623925019378164e-07,2.261796148441235e-08,2.261796148441235e-08
0.121,0.0010956366300725819,5.717017134201796e-07,2.3185002364416357e-08,2.3185002364416357e-08
0.122,0.001104488458658667,5.810856364249786e-07,2.3761389815093034e-08,2.3761389815093034e-08
0.123,0.0011133370093967666,5.905442298119194e-07,2.4347198527393206e-08,2.4347198527393206e-08
0.124,0.0011221822835006737,6.000774524582656e-07,2.4942503151136186e-08,2.4942503151136186e-08
0.125,0.0011310242821837317,6.096852632588309e-07,2.554737829502732e-08,2.554737829502732e-08
0.126,0.0011398630066588348,6.193676211259728e-07,2.616189852667555e-08,2.616189852667555e-08
0.127,0.0011486984581384283,6.291244849895852e-07,2.6786138372610935e-08,2.6786138372610935e-08
0.128,0.001157530637834508,6.389558137970919e-07,2.74201723183022e-08,2.74201723183022e-08
0.129,0.0011663595469586215,6.488615665134396e-07,2.8064074808174248e-08,2.8064074808174248e-08
0.13,0.0011751851867218672,6.588417021210905e-07,2.8717920245625695e-08,2.8717920245625695e-08
0.131,0.0011840075583348954,6.688961796200162e-07,2.9381782993046367e-08,2.9381782993046367e-08
0.132,0.001192826663007908,6.790249580276906e-07,3.0055737371834825e-08,3.0055737371834825e-08
0.133,0.0012016425019506587,6.892279963790824e-07,3.0739857662415836e-08,3.0739857662415836e-08
0.134,0.0012104550763724533,6.995052537266493e-07,3.1434218104257896e-08,3.1434218104257896e-08
0.135,0.0012192643874821497,7.0985668914033e-07,3.213889289589069e-08,3.213889289589069e-08
0.136,0.0012280704364881583,7.202822617075383e-07,3.285395619492258e-08,3.285395619492258e-08
0.137,0.001236873224598442,7.307819305331554e-07,3.357948211805808e-08,3.357948211805808e-08
0.138,0.0012456727530205161,7.413556547395237e-07,3.431554474111532e-08,3.431554474111532e-08
0.139,0.0012544690229614492,7.520033934664395e-07,3.506221809904349e-08,3.506221809904349e-08
0.14,0.0012632620356278624,7.627251058711464e-07,3.581957618594031e-08,3.581957618594031e-08
0.14100000000000001,0.0012720517922259306,7.735207511283283e-07,3.6587692955069456e-08,3.6587692955069456e-08
0.14200000000000002,0.0012808382939613818,7.843902884301026e-07,3.736664231887801e-08,3.736664231887801e-08
0.14300000000000002,0.0012896215420394972,7.953336769860132e-07,3.815649814901389e-08,3.815649814901389e-08
0.14400000000000002,0.0012984015376651121,8.063508760230239e-07,3.895733427634325e-08,3.895733427634325e-08
0.145,0.0013071782820426154,8.174418447855113e-07,3.976922449096794e-08,3.976922449096794e-08
0.146,0.0013159517763759502,8.286065425352583e-07,4.059224254224287e-08,4.059224254224287e-08
0.147,0.0013247220218686137,8.398449285514468e-07,4.1426462138793454e-08,4.1426462138793454e-08
0.148,0.0013334890197236572,8.511569621306512e-07,4.227195694853296e-08,4.227195694853296e-08
0.149,0.0013422527711436868,8.625426025868313e-07,4.3128800598679933e-08,4.3128800598679933e-08
0.15,0.0013510132773308634,8.740018092513257e-07,4.399706667577558e-08,4.399706667577558e-08
